Att,Cmp,Pct,Yds,YPA,TD%,Int,Int%,Lg,Sack,Loss,Rate,TD
16,11,68.8,107,6.7,0,2,12.5,43,1,6,47.7,0
13,10,76.9,57,4.4,7.7,0,0,20,0,0,110.1,1
10,6,60,87,8.7,10,2,20,33,0,0,82.1,1
10,6,60,60,6,0,0,0,25,5,38,77.1,0
8,3,37.5,25,3.1,0,1,12.5,13,0,0,6.8,0
5,4,80,29,5.8,0,0,0,14,0,0,90.8,0
5,3,60,35,7,0,0,0,19,0,0,81.3,0
3,1,33.3,27,9,0,0,0,27,0,0,67.4,0
3,2,66.7,33,11,0,0,0,28,0,0,103.5,0
3,1,33.3,35,11.7,33.3,0,0,35,0,0,118.1,1
2,0,0,0,0,0,0,0,0,0,0,39.6,0
2,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,14,14,100,0,0,14,0,0,158.3,1
1,1,100,49,49,100,0,0,49,0,0,158.3,1
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,11,11,0,0,0,11,0,0,112.5,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,22,22,0,0,0,22,0,0,118.8,0
1,1,100,41,41,0,0,0,41,0,0,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,27,27,0,0,0,27,0,0,118.8,0
1,0,0,0,0,0,1,100,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,1,1,100,0,0,0,0,0,118.8,1
1,1,100,55,55,0,0,0,55,0,0,118.8,0
1,1,100,15,15,0,0,0,15,0,0,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,33,33,0,0,0,33,0,0,118.8,0
1,0,0,0,0,0,1,100,0,1,6,0,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,18,18,0,0,0,18,2,3,118.8,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
0,0,0,0,0,0,0,0,0,1,7,0,0
0,0,0,0,0,0,0,0,0,1,2,0,0
