Att,Cmp,Pct,Yds,YPA,TD%,Int,Int%,Lg,Sack,Loss,Rate,TD
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,42,42,0,0,0,42,0,0,118.8,0
1,1,100,4,4,0,0,0,4,0,0,83.3,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,73,73,100,0,0,73,0,0,158.3,1
1,0,0,0,0,0,1,100,0,0,0,0,0
1,1,100,23,23,100,0,0,23,0,0,158.3,1
1,1,100,28,28,0,0,0,28,0,0,118.8,0
0,0,0,0,0,0,0,0,0,1,4,0,0
0,0,0,0,0,0,0,0,0,1,8,0,0
0,0,0,0,0,0,0,0,0,1,7,0,0
661,437,66.1,4792,7.2,4.4,13,2,80,40,264,93.8,29
627,428,68.3,4870,7.8,5.1,11,1.8,80,31,235,101,32
624,402,64.4,4770,7.6,5.8,7,1.1,76,38,225,102.2,36
618,387,62.6,4432,7.2,5.7,14,2.3,87,27,157,93.6,35
614,407,66.3,4591,7.5,3.4,16,2.6,70,30,206,89,21
606,355,58.6,4428,7.3,5.8,18,3,90,51,320,88.2,35
592,398,67.2,4262,7.2,5.4,13,2.2,57,44,251,97,32
586,363,61.9,4208,7.2,4.1,12,2,54,45,420,88.7,24
573,350,61.1,3987,7,5.6,13,2.3,68,31,230,91.1,32
572,347,60.7,3821,6.7,5.4,8,1.4,65,46,314,92.7,31
562,335,59.6,3905,6.9,5.5,15,2.7,69,19,94,88,31
543,379,69.8,4166,7.7,5.3,11,2,78,26,186,101.6,29
537,342,63.7,4671,8.7,6.5,11,2,68,25,151,104.6,35
535,312,58.3,4042,7.6,4.1,15,2.8,68,27,190,84.2,22
532,346,65,3725,7,3.6,14,2.6,78,28,200,86.4,19
495,296,59.8,3837,7.8,7.1,10,2,74,33,284,99.4,35
483,311,64.4,3659,7.6,4.3,11,2.3,87,29,150,92.3,21
483,329,68.1,4024,8.3,7,8,1.7,80,45,265,110.1,34
470,307,65.3,3486,7.4,4.3,7,1.5,80,45,235,95.4,20
469,319,68,3938,8.4,4.5,16,3.4,69,20,141,94.5,21
447,292,65.3,3231,7.2,3.1,9,2,52,44,307,88.7,14
413,266,64.4,2791,6.8,3.4,12,2.9,50,16,124,83.1,14
386,255,66.1,3250,8.4,6.5,7,1.8,80,20,118,106.2,25
380,242,63.7,3035,8,5.3,6,1.6,63,36,212,99.4,20
370,230,62.2,2818,7.6,5.1,10,2.7,61,38,258,91.5,19
369,224,60.7,2606,7.1,5.1,7,1.9,49,25,185,91.4,19
337,190,56.4,2052,6.1,2.1,10,3,68,14,98,69,7
331,198,59.8,2249,6.8,2.7,17,5.1,75,16,95,67.9,9
293,162,55.3,1881,6.4,5.1,12,4.1,87,15,88,74.9,15
292,186,63.7,2109,7.2,4.1,4,1.4,56,23,137,93.3,12
282,178,63.1,2031,7.2,3.5,7,2.5,71,25,164,86.2,10
275,170,61.8,1967,7.2,3.6,6,2.2,72,23,151,86.4,10
256,156,60.9,1690,6.6,3.5,5,2,57,16,101,84,9
244,144,59,1615,6.6,2.5,5,2,76,28,166,78.5,6
244,136,55.7,1336,5.5,2,6,2.5,48,6,32,67.9,5
223,129,57.8,1500,6.7,3.1,5,2.2,61,19,141,79.4,7
204,119,58.3,1276,6.3,2.5,7,3.4,51,14,86,70.6,5
166,101,60.8,935,5.6,2.4,7,4.2,57,13,98,66.7,4
140,97,69.3,1043,7.5,3.6,2,1.4,67,10,77,96.8,5
125,72,57.6,739,5.9,1.6,4,3.2,48,7,38,66.7,2
125,76,60.8,828,6.6,3.2,1,0.8,60,4,28,87.7,4
121,83,68.6,884,7.3,4.1,7,5.8,39,6,35,79.4,5
119,79,66.4,854,7.2,5,2,1.7,66,12,63,97.1,6
104,61,58.7,779,7.5,3.8,6,5.8,36,5,23,71,4
94,56,59.6,547,5.8,1.1,3,3.2,42,11,96,66.2,1
91,59,64.8,616,6.8,4.4,4,4.4,43,9,54,80.7,4
84,52,61.9,561,6.7,3.6,3,3.6,58,6,45,78.5,3
80,52,65,540,6.8,3.8,4,5,48,3,27,76,3
66,40,60.6,371,5.6,3,1,1.5,72,10,53,79.8,2
57,28,49.1,370,6.5,5.3,1,1.8,61,5,33,80.3,3
55,32,58.2,513,9.3,5.5,4,7.3,88,2,17,77.3,3
42,27,64.3,265,6.3,4.8,1,2.4,28,3,19,87.9,2
40,22,55,201,5,2.5,1,2.5,23,0,0,66.8,1
39,32,82.1,335,8.6,0,1,2.6,25,1,0,91.8,0
32,23,71.9,142,4.4,6.2,1,3.1,14,2,20,88.3,2
32,16,50,150,4.7,0,1,3.1,33,5,28,50.3,0
28,15,53.6,149,5.3,3.6,1,3.6,57,1,7,65.9,1
25,11,44,104,4.2,0,2,8,21,2,8,22.8,0
14,10,71.4,99,7.1,7.1,0,0,29,3,34,114.9,1
11,7,63.6,128,11.6,9.1,0,0,71,1,13,133.9,1
10,6,60,58,5.8,10,0,0,18,0,0,109.6,1
7,2,28.6,15,2.1,0,0,0,9,1,11,39.6,0
7,6,85.7,31,4.4,0,0,0,11,0,0,85.1,0
7,3,42.9,11,1.6,0,1,14.3,11,2,17,10.7,0
6,4,66.7,36,6,0,0,0,24,0,0,82.6,0
6,5,83.3,63,10.5,16.7,0,0,19,0,0,150,1
6,4,66.7,37,6.2,0,0,0,17,1,6,83.3,0
5,5,100,68,13.6,20,0,0,25,0,0,158.3,1
4,1,25,6,1.5,0,0,0,6,0,0,39.6,0
4,1,25,20,5,0,0,0,20,0,0,47.9,0
2,2,100,4,2,0,0,0,6,0,0,79.2,0
2,1,50,7,3.5,0,0,0,7,0,0,58.3,0
1,1,100,36,36,0,0,0,36,0,0,118.8,0
1,1,100,41,41,100,0,0,41,0,0,158.3,1
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,4,4,0,0,0,4,0,0,83.3,0
1,1,100,-3,-3,0,0,0,-3,0,0,79.2,0
1,1,100,9,9,0,0,0,9,0,0,104.2,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
1,1,100,14,14,0,0,0,14,0,0,118.8,0
1,1,100,3,3,0,0,0,3,0,0,79.2,0
1,1,100,21,21,100,0,0,21,0,0,158.3,1
1,1,100,4,4,0,0,0,4,1,8,83.3,0
1,0,0,0,0,0,0,0,0,0,0,39.6,0
0,0,0,0,0,0,0,0,0,1,8,0,0
0,0,0,0,0,0,0,0,0,1,3,0,0
0,0,0,0,0,0,0,0,0,1,3,0,0
659,450,68.3,5477,8.3,8.3,10,1.5,78,18,120,115.1,55
651,439,67.4,4515,6.9,4,17,2.6,81,44,298,89.6,26
650,446,68.6,5162,7.9,6,12,1.8,76,37,244,104.7,39
634,371,58.5,4650,7.3,4.6,19,3,87,23,168,84.2,29
628,380,60.5,4343,6.9,4,11,1.8,81,40,256,87.3,25
614,362,59,3912,6.4,3.1,22,3.6,74,48,324,73.1,19
588,355,60.4,3913,6.7,4.1,17,2.9,67,58,399,81.7,24
586,363,61.9,4293,7.3,5.6,20,3.4,82,29,182,88.8,33
584,375,64.2,4261,7.3,4.8,14,2.4,67,42,282,92,28
572,362,63.3,4274,7.5,4.2,22,3.8,91,41,289,83.9,24
570,343,60.2,3822,6.7,4,9,1.6,73,32,227,87,23
551,317,57.5,3818,6.9,3.3,27,4.9,70,39,281,69.4,18
544,378,69.5,4478,8.2,5.9,11,2,60,30,150,105.5,32
535,342,63.9,3828,7.2,5.8,10,1.9,82,35,272,96.7,31
508,308,60.6,3313,6.5,4.5,7,1.4,71,39,210,89.1,23
503,305,60.6,3241,6.4,2.6,14,2.8,62,38,243,76.5,13
473,292,61.7,3379,7.1,5.1,13,2.7,79,43,336,88.8,24
456,274,60.1,3203,7,3.5,12,2.6,62,38,274,82.2,16
443,247,55.8,3046,6.9,2.7,21,4.7,69,43,315,66.5,12
416,247,59.4,2608,6.3,4.6,9,2.2,85,40,314,83.9,19
416,243,58.4,3197,7.7,5,8,1.9,64,39,231,91.6,21
407,257,63.1,3357,8.2,6.4,9,2.2,80,44,272,101.2,26
358,219,61.2,2310,6.5,2.8,14,3.9,46,21,162,73,10
355,224,63.1,2621,7.4,5.4,12,3.4,67,19,132,89.2,19
350,217,62,2454,7,4,12,3.4,77,21,109,82,14
317,180,56.8,2015,6.4,3.5,8,2.5,80,16,97,76.9,11
317,203,64,2891,9.1,8.5,2,0.6,63,28,173,119.2,27
306,180,58.8,1972,6.4,3.6,9,2.9,45,28,159,77.7,11
290,193,66.6,2536,8.7,5.9,6,2.1,83,21,117,104.9,17
272,156,57.4,1798,6.6,2.6,11,4,73,31,203,69.1,7
267,141,52.8,1731,6.5,3.4,9,3.4,95,27,180,70.3,9
262,159,60.7,1687,6.4,5.3,4,1.5,73,15,97,90.9,14
254,153,60.2,1807,7.1,4.3,9,3.5,79,16,85,81.6,11
253,137,54.2,1760,7,3.6,6,2.4,66,19,201,78.2,9
242,142,58.7,1673,6.9,3.3,7,2.9,81,21,138,78.8,8
239,152,63.6,1648,6.9,2.9,9,3.8,47,27,119,77.9,7
224,149,66.5,1829,8.2,5.8,1,0.4,80,11,37,109,13
211,118,55.9,1547,7.3,3.8,8,3.8,52,6,53,76.1,8
200,124,62,1392,7,4,5,2.5,56,24,135,85.7,8
183,111,60.7,1256,6.9,4.4,4,2.2,66,16,105,86.7,8
157,93,59.2,1092,7,2.5,3,1.9,57,18,100,81,4
155,81,52.3,854,5.5,2.6,7,4.5,62,5,32,58.4,4
147,63,42.9,761,5.2,1.4,4,2.7,39,8,61,52.6,2
